Full Name,Filler Name,Short Name,Districts,Type
ulica Ostróżki,ulicy Ostróżki,ul. Ostróżki,Wawer,ulica
ulica Ostrzycka,ulicy Ostrzyckiej,ul. Ostrzycka,Praga-Południe,ulica
ulica Osuchowska,ulicy Osuchowskiej,ul. Osuchowska,Białołęka,ulica
Rondo László Osvátha,Ronda László Osvátha,Rondo L. Osvátha,Białołęka,Rondo
ulica Oszczepników,ulicy Oszczepników,ul. Oszczepników,Mokotów,ulica
ulica Oszmiańska,ulicy Oszmiańskiej,ul. Oszmiańska,Targówek,ulica
ulica Oś Królewska,ulicy Oś Królewska,ul. Oś Królewska,Wilanów,ulica
ulica Oświatowa,ulicy Oświatowej,ul. Oświatowa,Bemowo,ulica
ulica Otawska,ulicy Otawskiej,ul. Otawska,Wawer,ulica
ulica Otomańska,ulicy Otomańskiej,ul. Otomańska,Ursynów,ulica
ulica Otrębuska,ulicy Otrębuskiej,ul. Otrębuska,Bemowo,ulica
ulica Otwarta,ulicy Otwartej,ul. Otwarta,Wawer,ulica
ulica Otwocka,ulicy Otwockiej,ul. Otwocka,Praga-Północ,ulica
ulica Owalna,ulicy Owalnej,ul. Owalna,Włochy,ulica
ulica Owczarska,ulicy Owczarskiej,ul. Owczarska,Bemowo,ulica
ulica Owocowa,ulicy Owocowej,ul. Owocowa,Wawer,ulica
ulica Owoców Leśnych,ulicy Owoców Leśnych,ul. Owoców Leśnych,Białołęka,ulica
ulica Owsiana,ulicy Owsianej,ul. Owsiana,Praga-Południe,ulica
ulica Ożarowska,ulicy Ożarowskiej,ul. Ożarowska,Wola,ulica
ulica Pabianicka,ulicy Pabianickiej,ul. Pabianicka,Praga-Południe,ulica
ulica Ludwika Michała Paca,ulicy Ludwika Michała Paca,ul. L. M. Paca,Praga-Południe,ulica
ulica Pachnąca,ulicy Pachnącej,ul. Pachnąca,Ursynów,ulica
ulica Pacholęca,ulicy Pacholęcej,ul. Pacholęca,Rembertów,ulica
ulica Paczkowska,ulicy Paczkowskiej,ul. Paczkowska,Wawer,ulica
ulica Ignacego Paderewskiego,ulicy Ignacego Paderewskiego,ul. I. Paderewskiego,Rembertów,ulica
ulica Padewska,ulicy Padewskiej,ul. Padewska,Mokotów,ulica
ulica Niccola Paganiniego,ulicy Niccola Paganiniego,ul. N. Paganiniego,Włochy,ulica
ulica Antoniego Pajdaka,ulicy Antoniego Pajdaka,ul. A. Pajdaka,Białołęka,ulica
ulica Pajęcza,ulicy Pajęczej,ul. Pajęcza,Wawer,ulica
Rondo o. Bogusława Palecznego,Ronda o. Bogusława Palecznego,Rondo o. B. Palecznego,Ursus,Rondo
ulica Romana Palestera,ulicy Romana Palestera,ul. R. Palestera,Białołęka,ulica
ulica Palestyńska,ulicy Palestyńskiej,ul. Palestyńska,Targówek,ulica
ulica Palisadowa,ulicy Palisadowej,ul. Palisadowa,Bielany,ulica
ulica Antoniego Pallutha,ulicy Antoniego Pallutha,ul. A. Pallutha,Mokotów,ulica
ulica Palmirska,ulicy Palmirskiej,ul. Palmirska,Targówek,ulica
ulica Palmowa,ulicy Palmowej,ul. Palmowa,Wawer,ulica
ulica Paluch,ulicy Paluch,ul. Paluch,Włochy,ulica
ulica Pałacowa,ulicy Pałacowej,ul. Pałacowa,Wilanów,ulica
ulica Pałuków,ulicy Pałuków,ul. Pałuków,Białołęka,ulica
ulica Pamiętajcie o Ogrodach,ulicy Pamiętajcie o Ogrodach,ul. Pamiętajcie o Ogrodach,Śródmieście,ulica
ulica Pamiętna,ulicy Pamiętnej,ul. Pamiętna,Wilanów,ulica
ulica Pana Tadeusza,ulicy Pana Tadeusza,ul. Pana Tadeusza,Włochy,ulica
ulica Feliksa Pancera,ulicy Feliksa Pancera,ul. F. Pancera,Białołęka,ulica
ulica Pancerna,ulicy Pancernej,ul. Pancerna,Rembertów,ulica
ulica Pandy,ulicy Pandy,ul. Pandy,Ochota,ulica
ulica Pani na Wiśniewie,ulicy Pani na Wiśniewie,ul. Pani na Wiśniewie,Białołęka,ulica
ulica Panieńska,ulicy Panieńskiej,ul. Panieńska,Praga-Północ,ulica
ulica Jana Pankiewicza,ulicy Jana Pankiewicza,ul. J. Pankiewicza,Śródmieście,ulica
ulica Panny,ulicy Panny,ul. Panny,Targówek,ulica
ulica Panny Wodnej,ulicy Panny Wodnej,ul. Panny Wodnej,Wawer,ulica
ulica Panoramiczna,ulicy Panoramicznej,ul. Panoramiczna,Ursynów,ulica
ulica Panoramy,ulicy Panoramy,ul. Panoramy,Wawer,ulica
Aleja Andrzeja Panufnika,Alei Andrzeja Panufnika,al. A. Panufnika,Mokotów,Aleja parkowa
ulica Pańska,ulicy Pańskiej,ul. Pańska,"Śródmieście, Wola",ulica
ulica Papierowa,ulicy Papierowej,ul. Papierowa,Wawer,ulica
ulica Papieska,ulicy Papieskiej,ul. Papieska,Białołęka,ulica
ulica Papirusów,ulicy Papirusów,ul. Papirusów,Bielany,ulica
ulica Paproci,ulicy Paproci,ul. Paproci,Wesoła,ulica
ulica Paprociowa,ulicy Paprociowej,ul. Paprociowa,Wawer,ulica
ulica Paprotki,ulicy Paprotki,ul. Paprotki,Wilanów,ulica
ulica Papuzia,ulicy Papuziej,ul. Papuzia,Ursynów,ulica
ulica Parafialna,ulicy Parafialnej,ul. Parafialna,Wola,ulica
ulica Jana Parandowskiego,ulicy Jana Parandowskiego,ul. J. Parandowskiego,Bielany,ulica
ulica Parcelacyjna,ulicy Parcelacyjnej,ul. Parcelacyjna,Białołęka,ulica
ulica Parkingowa,ulicy Parkingowej,ul. Parkingowa,Śródmieście,ulica
ulica Parkowa,ulicy Parkowej,ul. Parkowa,Śródmieście,ulica
ulica Parkowa,ulicy Parkowej,ul. Parkowa,Wesoła,ulica
ulica Parnas,ulicy Parnas,ul. Parnas,Bielany,ulica
ulica Antoniego Parola,ulicy Antoniego Parola,ul. A. Parola,Bielany,ulica
ulica Parowcowa,ulicy Parowcowej,ul. Parowcowa,Włochy,ulica
ulica Parowozowa,ulicy Parowozowej,ul. Parowozowa,Białołęka,ulica
ulica Parterowa,ulicy Parterowej,ul. Parterowa,Wawer,ulica
ulica Paryska,ulicy Paryskiej,ul. Paryska,Praga-Południe,ulica
ulica Parysowska,ulicy Parysowskiej,ul. Parysowska,Wola,ulica
ulica Pasażerska,ulicy Pasażerskiej,ul. Pasażerska,Wawer,ulica
ulica Pasieki,ulicy Pasieki,ul. Pasieki,Białołęka,ulica
Aleja ks. Janusza Stanisława Pasierba,Alei ks. Janusza Stanisława Pasierba,al. ks. J. S. Pasierba,Śródmieście,Aleja parkowa
ulica Jana Chryzostoma Paska,ulicy Jana Chryzostoma Paska,ul. J. Ch. Paska,Żoliborz,ulica
ulica Pasłęcka,ulicy Pasłęckiej,ul. Pasłęcka,Białołęka,ulica
ulica Pastelowa,ulicy Pastelowej,ul. Pastelowa,Targówek,ulica
ulica Pasterska,ulicy Pasterskiej,ul. Pasterska,Bielany,ulica
ulica Ludwika Pasteura,ulicy Ludwika Pasteura,ul. L. Pasteura,Ochota,ulica
ulica Pastewna,ulicy Pastewnej,ul. Pastewna,Wilanów,ulica
ulica Pastuszków,ulicy Pastuszków,ul. Pastuszków,Rembertów,ulica
ulica Pasymska,ulicy Pasymskiej,ul. Pasymska,Bielany,ulica
ulica Ludwika Paszkiewicza,ulicy Ludwika Paszkiewicza,ul. L. Paszkiewicza,Ursynów,ulica
ulica prof. Wacława Paszkowskiego,ulicy prof. Wacława Paszkowskiego,ul. prof. W. Paszkowskiego,Mokotów,ulica
ulica Paśników,ulicy Paśników,ul. Paśników,Praga-Południe,ulica
ulica Aleksandra Patkowskiego,ulicy Aleksandra Patkowskiego,ul. A. Patkowskiego,Mokotów,ulica
ulica Patriotów,ulicy Patriotów,ul. Patriotów,Wawer,ulica
ulica Patrolowa,ulicy Patrolowej,ul. Patrolowa,Włochy,ulica
ulica św. Patryka,ulicy św. Patryka,ul. św. Patryka,Praga-Południe,ulica
Bulwar gen. George'a Smitha Pattona,Bulwaru gen. George'a Smitha Pattona,Bulwar gen. G. S. Pattona,Śródmieście,Bulwar
ulica Luciana Pavarottiego,ulicy Luciana Pavarottiego,ul. L. Pavarottiego,Białołęka,ulica
ulica Pawia,ulicy Pawiej,ul. Pawia,"Śródmieście, Wola",ulica
ulica Adolfa Pawińskiego,ulicy Adolfa Pawińskiego,ul. A. Pawińskiego,Ochota,ulica
ulica Zygmunta Pawlaczyka,ulicy Zygmunta Pawlaczyka,ul. Z. Pawlaczyka,Ursynów,ulica
ulica Mieczysława Pawlikowskiego,ulicy Mieczysława Pawlikowskiego,ul. M. Pawlikowskiego,Praga-Południe,ulica
ulica Marii Pawlikowskiej-Jasnorzewskiej,ulicy Marii Pawlikowskiej-Jasnorzewskiej,ul. M. Pawlikowskiej-Jasnorzewskiej,Bielany,ulica
ulica Pawłowska,ulicy Pawłowskiej,ul. Pawłowska,Wawer,ulica
ulica Romana Pazińskiego,ulicy Romana Pazińskiego,ul. R. Pazińskiego,Wawer,ulica
ulica Pejzażowa,ulicy Pejzażowej,ul. Pejzażowa,Mokotów,ulica
ulica Pelargonii,ulicy Pelargonii,ul. Pelargonii,Wawer,ulica
Rondo Kazimierza Pelczara,Ronda Kazimierza Pelczara,Rondo K. Pelczara,Ursynów,Rondo
ulica Pelikanów,ulicy Pelikanów,ul. Pelikanów,Ursynów,ulica
ulica Pelplińska,ulicy Pelplińskiej,ul. Pelplińska,Bielany,ulica
ulica gen. Tadeusza Pełczyńskiego,ulicy gen. Tadeusza Pełczyńskiego,ul. gen. T. Pełczyńskiego,Bemowo,ulica
ulica Penelopy,ulicy Penelopy,ul. Penelopy,Targówek,ulica
ulica Peonii,ulicy Peonii,ul. Peonii,Wawer,ulica
ulica Icchoka Lejba Pereca,ulicy Icchoka Lejba Pereca,ul. I. L. Pereca,Wola,ulica
ulica Pergaminów,ulicy Pergaminów,ul. Pergaminów,Bielany,ulica
ulica Perkalowa,ulicy Perkalowej,ul. Perkalowa,Ursynów,ulica
ulica Perkoza,ulicy Perkoza,ul. Perkoza,Ursynów,ulica
ulica Perkuna,ulicy Perkuna,ul. Perkuna,Praga-Południe,ulica
ulica Perkusyjna,ulicy Perkusyjnej,ul. Perkusyjna,Białołęka,ulica
ulica Perlicza,ulicy Perliczej,ul. Perlicza,Ursynów,ulica
ulica Perlonowa,ulicy Perlonowej,ul. Perlonowa,Włochy,ulica
ulica Perłowa,ulicy Perłowej,ul. Perłowa,Targówek,ulica
ulica Perłowa,ulicy Perłowej,ul. Perłowa,Wesoła,ulica
ulica Perseusza,ulicy Perseusza,ul. Perseusza,Bielany,ulica
ulica Perzowa,ulicy Perzowej,ul. Perzowa,Wawer,ulica
ulica Włodzimierza Perzyńskiego,ulicy Włodzimierza Perzyńskiego,ul. W. Perzyńskiego,Bielany,ulica
Rondo ks. Zdzisława Peszkowskiego,Ronda ks. Zdzisława Peszkowskiego,Rondo ks. Z. Peszkowskiego,Bielany,Rondo
ulica Peszteńska,ulicy Peszteńskiej,ul. Peszteńska,Praga-Południe,ulica
ulica Sándora Petöfiego,ulicy Sándora Petöfiego,ul. S. Petöfiego,Bielany,ulica
ulica Petunii,ulicy Petunii,ul. Petunii,Wawer,ulica
ulica Petyhorska,ulicy Petyhorskiej,ul. Petyhorska,Wilanów,ulica
ulica Pęcherska,ulicy Pęcherskiej,ul. Pęcherska,Mokotów,ulica
ulica Pęcicka,ulicy Pęcickiej,ul. Pęcicka,Bielany,ulica
ulica Pianistów,ulicy Pianistów,ul. Pianistów,Włochy,ulica
ulica Piaseczyńska,ulicy Piaseczyńskiej,ul. Piaseczyńska,Mokotów,ulica
ulica Piaskarzy,ulicy Piaskarzy,ul. Piaskarzy,Mokotów,ulica
ulica Piaskowa,ulicy Piaskowej,ul. Piaskowa,Wola,ulica
ulica Piaskowa,ulicy Piaskowej,ul. Piaskowa,Wesoła,ulica
ulica Piasta Kołodzieja,ulicy Piasta Kołodzieja,ul. Piasta Kołodzieja,Białołęka,ulica
ulica Piastowa,ulicy Piastowej,ul. Piastowa,Wawer,ulica
ulica Piastowska,ulicy Piastowskiej,ul. Piastowska,Ursus,ulica
ulica Piastowska,ulicy Piastowskiej,ul. Piastowska,Wesoła,ulica
ulica Piastów Śląskich,ulicy Piastów Śląskich,ul. Piastów Śląskich,Bemowo,ulica
ulica Piątkowska,ulicy Piątkowskiej,ul. Piątkowska,Włochy,ulica
ulica Pabla Picassa,ulicy Pabla Picassa,ul. P. Picassa,Białołęka,ulica
ulica Piechocka,ulicy Piechockiej,ul. Piechocka,Białołęka,ulica
ulica Piechoty Łanowej,ulicy Piechoty Łanowej,ul. Piechoty Łanowej,Wilanów,ulica
ulica Piechoty Wybranieckiej,ulicy Piechoty Wybranieckiej,ul. Piechoty Wybranieckiej,Ursus,ulica
ulica Piechurów,ulicy Piechurów,ul. Piechurów,Wawer,ulica
ulica Piecuszka,ulicy Piecuszka,ul. Piecuszka,Ursynów,ulica
ulica Teofila Piecyka,ulicy Teofila Piecyka,ul. Teofila Piecyka,Targówek,ulica
ulica Jana Piekałkiewicza,ulicy Jana Piekałkiewicza,ul. J. Piekałkiewicza,Mokotów,ulica
ulica Piekarska,ulicy Piekarskiej,ul. Piekarska,Śródmieście,ulica
ulica Pielęgniarek,ulicy Pielęgniarek,ul. Pielęgniarek,Wawer,ulica
ulica Pielgrzymów,ulicy Pielgrzymów,ul. Pielgrzymów,Rembertów,ulica
ulica Zbigniewa Pieniążka,ulicy Zbigniewa Pieniążka,ul. Z. Pieniążka,Bemowo,ulica
ulica Stefana Pieńkowskiego,ulicy Stefana Pieńkowskiego,ul. S. Pieńkowskiego,Mokotów,ulica
ulica Pierwiosnków,ulicy Pierwiosnków,ul. Pierwiosnków,Wawer,ulica
ulica Pieskowa Skała,ulicy Pieskowa Skała,ul. Pieskowa Skała,Ursynów,ulica
ulica Piesza,ulicy Pieszej,ul. Piesza,Śródmieście,ulica
ulica Bronisława Pietraszewicza „Lota”,ulicy Bronisława Pietraszewicza „Lota”,ul. B. Pietraszewicza „Lota”,Ursynów,ulica
ulica Pięciolinii,ulicy Pięciolinii,ul. Pięciolinii,Ursynów,ulica
ulica Pięciu Stawów,ulicy Pięciu Stawów,ul. Pięciu Stawów,Ursynów,ulica
ulica Piękna,ulicy Pięknej,ul. Piękna,Śródmieście,ulica
ulica Piękna,ulicy Pięknej,ul. Piękna,Wesoła,ulica
ulica Pigwy,ulicy Pigwy,ul. Pigwy,Wilanów,ulica
ulica Pilarzy,ulicy Pilarzy,ul. Pilarzy,Rembertów,ulica
ulica Pilawska,ulicy Pilawskiej,ul. Pilawska,Wawer,ulica
ulica Pilchowicka,ulicy Pilchowickiej,ul. Pilchowicka,Włochy,ulica
ulica rtm. Witolda Pileckiego,ulicy rtm. Witolda Pileckiego,ul. rtm. W. Pileckiego,Ursynów,ulica
ulica Pilicka,ulicy Pilickiej,ul. Pilicka,Mokotów,ulica
ulica Piłkarska,ulicy Piłkarskiej,ul. Piłkarska,Mokotów,ulica
Aleja marsz. Józefa Piłsudskiego,Alei marsz. Józefa Piłsudskiego,al. marsz. J. Piłsudskiego,Wesoła,Aleja
Plac marsz. Józefa Piłsudskiego,Placu marsz. Józefa Piłsudskiego,pl. marsz. J. Piłsudskiego,Śródmieście,Plac
ulica Pińczowska,ulicy Pińczowskiej,ul. Pińczowska,Wawer,ulica
ulica Pińska,ulicy Pińskiej,ul. Pińska,Targówek,ulica
ulica Piołunowa,ulicy Piołunowej,ul. Piołunowa,Wawer,ulica
ulica Pionierów,ulicy Pionierów,ul. Pionierów,Białołęka,ulica
ulica Pionierska,ulicy Pionierskiej,ul. Pionierska,Żoliborz,ulica
ulica Piotrkowska,ulicy Piotrkowskiej,ul. Piotrkowska,Ochota,ulica
ulica Piotrusia Pana,ulicy Piotrusia Pana,ul. Piotrusia Pana,Wesoła,ulica
ulica Grzegorza Piramowicza,ulicy Grzegorza Piramowicza,ul. G. Piramowicza,Mokotów,ulica
ulica Pirenejska,ulicy Pirenejskiej,ul. Pirenejska,Bemowo,ulica
ulica Piruet,ulicy Piruet,ul. Piruet,Ursynów,ulica
ulica Pisankowa,ulicy Pisankowej,ul. Pisankowa,Białołęka,ulica
ulica Mariana Pisarka,ulicy Mariana Pisarka,ul. M. Pisarka,Praga-Południe,ulica
ulica Piskląt,ulicy Piskląt,ul. Piskląt,Białołęka,ulica
ulica Piskorska,ulicy Piskorskiej,ul. Piskorska,Ursus,ulica
ulica Pistacjowa,ulicy Pistacjowej,ul. Pistacjowa,Ursynów,ulica
ulica Pitagorasa,ulicy Pitagorasa,ul. Pitagorasa,Bemowo,ulica
ulica Jana Feliksa Piwarskiego,ulicy Jana Feliksa Piwarskiego,ul. J. F. Piwarskiego,Mokotów,ulica
ulica Piwna,ulicy Piwnej,ul. Piwna,Śródmieście,ulica
ulica Piwoniowa,ulicy Piwoniowej,ul. Piwoniowa,Białołęka,ulica
ulica Plakatowa,ulicy Plakatowej,ul. Plakatowa,Ursynów,ulica
ulica Planetowa,ulicy Planetowej,ul. Planetowa,Wawer,ulica
ulica Plantowa,ulicy Plantowej,ul. Plantowa,Targówek,ulica
ulica Plastyczna,ulicy Plastycznej,ul. Plastyczna,Włochy,ulica
ulica Platanowa,ulicy Platanowej,ul. Platanowa,Białołęka,ulica
ulica Platanów,ulicy Platanów,ul. Platanów,Wesoła,ulica
ulica Emilii Plater,ulicy Emilii Plater,ul. E. Plater,Śródmieście,ulica
ulica Platynowa,ulicy Platynowej,ul. Platynowa,Wola,ulica
ulica Platynowa,ulicy Platynowej,ul. Platynowa,Wesoła,ulica
ulica Plażowa,ulicy Plażowej,ul. Plażowa,Wawer,ulica
ulica Pląsy,ulicy Pląsy,ul. Pląsy,Ursynów,ulica
ulica Pleciona,ulicy Plecionej,ul. Pleciona,Wawer,ulica
ulica Plutonowych,ulicy Plutonowych,ul. Plutonowych,Rembertów,ulica
ulica Plutonu AK „Torpedy”,ulicy Plutonu AK „Torpedy”,ul. Plutonu AK „Torpedy”,Ursus,ulica
ulica Płaska,ulicy Płaskiej,ul. Płaska,Białołęka,ulica
ulica Filipiny Płaskowickiej,ulicy Filipiny Płaskowickiej,ul. F. Płaskowickiej,Ursynów,ulica
ulica Płatków Róż,ulicy Płatków Róż,ul. Płatków Róż,Mokotów,ulica
ulica Płatnerska,ulicy Płatnerskiej,ul. Płatnerska,Rembertów,ulica
ulica Płatnicza,ulicy Płatniczej,ul. Płatnicza,Bielany,ulica
ulica Płatowcowa,ulicy Płatowcowej,ul. Płatowcowa,Mokotów,ulica
ulica Płochocińska,ulicy Płochocińskiej,ul. Płochocińska,Białołęka,ulica
ulica Płocka,ulicy Płockiej,ul. Płocka,Wola,ulica
Alejka „Płomyczek”,Alejki „Płomyczek”,al. „Płomyczek”,Śródmieście,Aleja parkowa
ulica Płomyka,ulicy Płomyka,ul. Płomyka,Włochy,ulica
ulica Płońska,ulicy Płońskiej,ul. Płońska,Targówek,ulica
ulica Płosa,ulicy Płosa,ul. Płosa,Targówek,ulica
ulica Płowce,ulicy Płowce,ul. Płowce,Praga-Południe,ulica
ulica Płowiecka,ulicy Płowieckiej,ul. Płowiecka,"Praga-Południe, Wawer",ulica
ulica Płudowska,ulicy Płudowskiej,ul. Płudowska,Białołęka,ulica
ulica Adama Pługa,ulicy Adama Pługa,ul. A. Pługa,Ochota,ulica
ulica Płużańska,ulicy Płużańskiej,ul. Płużańska,Włochy,ulica
ulica Płużnicka,ulicy Płużnickiej,ul. Płużnicka,Białołęka,ulica
ulica Płyćwiańska,ulicy Płyćwiańskiej,ul. Płyćwiańska,Mokotów,ulica
ulica Płytowa,ulicy Płytowej,ul. Płytowa,Białołęka,ulica
ulica Pływacka,ulicy Pływackiej,ul. Pływacka,Mokotów,ulica
Rondo Bohdana Pniewskiego,Ronda Bohdana Pniewskiego,Rondo B. Pniewskiego,Ochota,Rondo
ulica Poborzańska,ulicy Poborzańskiej,ul. Poborzańska,Targówek,ulica
ulica Pobudki,ulicy Pobudki,ul. Pobudki,Bemowo,ulica
ulica Pochyła,ulicy Pochyłej,ul. Pochyła,Białołęka,ulica
ulica Pocieszeń,ulicy Pocieszeń,ul. Pocieszeń,Mokotów,ulica
ulica Pociskowa,ulicy Pociskowej,ul. Pociskowa,Rembertów,ulica
ulica Początkowa,ulicy Początkowej,ul. Początkowa,Wawer,ulica
ulica Marcina Poczobutta-Odlanickiego,ulicy Marcina Poczobutta-Odlanickiego,ul. M. Poczobutta-Odlanickiego,Żoliborz,ulica
ulica Pocztowa,ulicy Pocztowej,ul. Pocztowa,Białołęka,ulica
ulica Poczty Gdańskiej,ulicy Poczty Gdańskiej,ul. Poczty Gdańskiej,Ursus,ulica
ulica Pod Brzozami,ulicy Pod Brzozami,ul. Pod Brzozami,Wawer,ulica
ulica Pod Kopcem,ulicy Pod Kopcem,ul. Pod Kopcem,Mokotów,ulica
ulica Pod Lipą,ulicy Pod Lipą,ul. Pod Lipą,Ursynów,ulica
ulica Pod Skocznią,ulicy Pod Skocznią,ul. Pod Skocznią,Mokotów,ulica
ulica Pod Strzechą,ulicy Pod Strzechą,ul. Pod Strzechą,Ursynów,ulica
ulica Podbiałowa,ulicy Podbiałowej,ul. Podbiałowa,Wawer,ulica
ulica Podbipięty,ulicy Podbipięty,ul. Podbipięty,Mokotów,ulica
ulica Podborska,ulicy Podborskiej,ul. Podborska,Włochy,ulica
ulica Podchorążych,ulicy Podchorążych,ul. Podchorążych,"Mokotów, Śródmieście",ulica
ulica Bolesława Podczaszyńskiego,ulicy Bolesława Podczaszyńskiego,ul. B. Podczaszyńskiego,Bielany,ulica
ulica Podgórna,ulicy Podgórnej,ul. Podgórna,Białołęka,ulica
ulica Podgórska,ulicy Podgórskiej,ul. Podgórska,Mokotów,ulica
ulica Podgrodzie,ulicy Podgrodzie,ul. Podgrodzie,Bemowo,ulica
ulica Podgrzybków,ulicy Podgrzybków,ul. Podgrzybków,"Ursynów, Wilanów",ulica
ulica Podhajecka,ulicy Podhajeckiej,ul. Podhajecka,Praga-Południe,ulica
ulica Podhalańska,ulicy Podhalańskiej,ul. Podhalańska,Rembertów,ulica
ulica Podjazd,ulicy Podjazd,ul. Podjazd,Wawer,ulica
ulica Podkładowa,ulicy Podkładowej,ul. Podkładowa,Białołęka,ulica
ulica Podkowińska,ulicy Podkowińskiej,ul. Podkowińska,Bemowo,ulica
ulica Podkowy,ulicy Podkowy,ul. Podkowy,Wawer,ulica
ulica Podleśna,ulicy Podleśnej,ul. Podleśna,Bielany,ulica
ulica Podleśna,ulicy Podleśnej,ul. Podleśna,Wesoła,ulica
ulica Podłużna,ulicy Podłużnej,ul. Podłużna,Białołęka,ulica
ulica Podmiejska,ulicy Podmiejskiej,ul. Podmiejska,Bemowo,ulica
ulica Podmokła,ulicy Podmokłej,ul. Podmokła,Wawer,ulica
ulica Podobna,ulicy Podobnej,ul. Podobna,Targówek,ulica
ulica Podolska,ulicy Podolskiej,ul. Podolska,Praga-Południe,ulica
ulica Podolszyńska,ulicy Podolszyńskiej,ul. Podolszyńska,Ursynów,ulica
ulica Romana i Jana Podoskich,ulicy Romana i Jana Podoskich,ul. R. i J. Podoskich,Śródmieście,ulica
ulica Podróżnicza,ulicy Podróżniczej,ul. Podróżnicza,Białołęka,ulica
ulica Podskarbińska,ulicy Podskarbińskiej,ul. Podskarbińska,Praga-Południe,ulica
ulica Podstarościch,ulicy Podstarościch,ul. Podstarościch,Żoliborz,ulica
ulica Podstawowa,ulicy Podstawowej,ul. Podstawowa,Wawer,ulica
ulica Podwale,ulicy Podwale,ul. Podwale,Śródmieście,ulica
ulica Podwójna,ulicy Podwójnej,ul. Podwójna,Białołęka,ulica
ulica Poematu,ulicy Poematu,ul. Poematu,Wawer,ulica
ulica Poetów,ulicy Poetów,ul. Poetów,Białołęka,ulica
ulica Poezji,ulicy Poezji,ul. Poezji,Wawer,ulica
ulica Poezji,ulicy Poezji,ul. Poezji,Wesoła,ulica
ulica Pogodna,ulicy Pogodnej,ul. Pogodna,Mokotów,ulica
ulica Pogodna,ulicy Pogodnej,ul. Pogodna,Wesoła,ulica
ulica Stefana Pogonowskiego,ulicy Stefana Pogonowskiego,ul. S. Pogonowskiego,Żoliborz,ulica
ulica prof. Witolda Pogorzelskiego,ulicy prof. Witolda Pogorzelskiego,ul. prof. W. Pogorzelskiego,Ochota,ulica
ulica Pograniczna,ulicy Pogranicznej,ul. Pograniczna,Włochy,ulica
ulica Jana Pohoskiego,ulicy Jana Pohoskiego,ul. J. Pohoskiego,Mokotów,ulica
Rondo Pohulanka,Ronda Pohulanka,Rondo Pohulanka,Wesoła,Rondo
ulica Pohulanka,ulicy Pohulanka,ul. Pohulanka,Targówek,ulica
ulica Pokorna,ulicy Pokornej,ul. Pokorna,Śródmieście,ulica
ulica Pokrzywnicka,ulicy Pokrzywnickiej,ul. Pokrzywnicka,Praga-Południe,ulica
ulica Pokrzywowa,ulicy Pokrzywowej,ul. Pokrzywowa,Wawer,ulica
ulica Pokucka,ulicy Pokuckiej,ul. Pokucka,Praga-Południe,ulica
ulica Pola Karolińskie,ulicy Pola Karolińskie,ul. Pola Karolińskie,Włochy,ulica
ulica Wincentego Pola,ulicy Wincentego Pola,ul. W. Pola,Wola,ulica
ulica Polanicka,ulicy Polanickiej,ul. Polanicka,Mokotów,ulica
ulica Polanki,ulicy Polanki,ul. Polanki,Wesoła,ulica
ulica Polany,ulicy Polany,ul. Polany,Wawer,ulica
ulica Polarna,ulicy Polarnej,ul. Polarna,Wawer,ulica
Plac Pole Elekcyjne,Placu Pole Elekcyjne,pl. Pole Elekcyjne,Wola,Plac
ulica Poleczki,ulicy Poleczki,ul. Poleczki,"Ursynów, Włochy",ulica
ulica Poleska,ulicy Poleskiej,ul. Poleska,Targówek,ulica
ulica Poligonowa,ulicy Poligonowej,ul. Poligonowa,Praga-Południe,ulica
ulica Polinezyjska,ulicy Polinezyjskiej,ul. Polinezyjska,Ursynów,ulica
Plac Politechniki,Placu Politechniki,pl. Politechniki,Śródmieście,Plac
ulica Polki,ulicy Polki,ul. Polki,Ursynów,ulica
ulica Polkowska,ulicy Polkowskiej,ul. Polkowska,Mokotów,ulica
ulica Polna,ulicy Polnej,ul. Polna,Śródmieście,ulica
ulica Polna,ulicy Polnej,ul. Polna,Wesoła,ulica
ulica Polnego Wiatru,ulicy Polnego Wiatru,ul. Polnego Wiatru,Białołęka,ulica
ulica Polnej Róży,ulicy Polnej Róży,ul. Polnej Róży,Ursynów,ulica
ulica Polnych Kwiatów,ulicy Polnych Kwiatów,ul. Polnych Kwiatów,Białołęka,ulica
ulica Poloneza,ulicy Poloneza,ul. Poloneza,Ursynów,ulica
ulica Polska,ulicy Polskiej,ul. Polska,Mokotów,ulica
Aleja Polski Walczącej,Alei Polski Walczącej,al. Polski Walczącej,Mokotów,Aleja
Rondo Polskich Kryptologów Enigmy,Ronda Polskich Kryptologów Enigmy,Rondo Polskich Kryptologów Enigmy,Ursynów,Rondo
ulica Polskich Skrzydeł,ulicy Polskich Skrzydeł,ul. Polskich Skrzydeł,Praga-Południe,ulica
ulica Polskie Drogi,ulicy Polskie Drogi,ul. Polskie Drogi,Ursynów,ulica
Aleja Polskiej Organizacji Wojskowej,Alei Polskiej Organizacji Wojskowej,al. POW,"Ursus, Włochy",Aleja
ulica Połaniecka,ulicy Połanieckiej,ul. Połaniecka,Wawer,ulica
ulica Połączona,ulicy Połączonej,ul. Połączona,Białołęka,ulica
ulica Połczyńska,ulicy Połczyńskiej,ul. Połczyńska,"Bemowo, Wola",ulica
ulica Połoniny,ulicy Połoniny,ul. Połoniny,Białołęka,ulica
ulica Południowa,ulicy Południowej,ul. Południowa,Wawer,ulica
